Date,SKU,Product Name,City,Sales
2023-01-01 0:00:00,F001,Prateek England,Mumbai,93
2023-01-01 0:00:00,F002,Lucy Phillepe,Mumbai,36
2023-01-01 0:00:00,F003,Badlands,Mumbai,7
2023-01-01 0:00:00,F004,Allen Dolly,Mumbai,55
2023-01-01 0:00:00,F005,Bucchi,Mumbai,41
2023-01-01 0:00:00,M001,Jhaomi,Mumbai,0
2023-01-01 0:00:00,M002,Samson,Mumbai,17
2023-01-01 0:00:00,M003,Mokia,Mumbai,41
2023-01-01 0:00:00,M004,Hotorola,Mumbai,8
2023-01-01 0:00:00,M005,2plus,Mumbai,28
2023-01-01 0:00:00,B001,Harry putar,Mumbai,22
2023-01-01 0:00:00,B002,4 states,Mumbai,25
2023-01-01 0:00:00,B003,Shaktiman Returns,Mumbai,73
2023-01-01 0:00:00,B004,Goli's Travel,Mumbai,47
2023-01-01 0:00:00,B005,Story of Your Life,Mumbai,108
2023-01-01 0:00:00,V001,Prince of Dholakpur,Mumbai,12
2023-01-01 0:00:00,V002,Nario,Mumbai,117
2023-01-01 0:00:00,V003,Pacman,Mumbai,243
2023-01-01 0:00:00,V004,LTA Wise City,Mumbai,47
2023-01-01 0:00:00,V005,HIFA 2023,Mumbai,29
2023-01-01 0:00:00,S001,Abibas Football,Mumbai,7
2023-01-01 0:00:00,S002,Rural Terrain Cycles,Mumbai,13
2023-01-01 0:00:00,S003,Monex Badminton Rackets,Mumbai,11
2023-01-01 0:00:00,S004,Yoga Mattress,Mumbai,31
2023-01-01 0:00:00,S005,Rocky Gym Set,Mumbai,9
2023-01-01 0:00:00,ME001,Pyllum Trimmers,Mumbai,1
2023-01-01 0:00:00,ME002,Softcare Electric Toothbrush,Mumbai,9
2023-01-01 0:00:00,ME003,Leg Messager,Mumbai,11
2023-01-01 0:00:00,ME004,NoFat Weighing Scale,Mumbai,4
2023-01-01 0:00:00,ME005,Screw Activity Watch,Mumbai,11
2023-01-01 0:00:00,K001,SureIt Purifier,Mumbai,9
2023-01-01 0:00:00,K002,Parrot Induction Stove,Mumbai,25
2023-01-01 0:00:00,K003,Jalepenoware Tiffin,Mumbai,13
2023-01-01 0:00:00,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,36
2023-01-01 0:00:00,K005,Mr.Clean Dishwasher,Mumbai,26
2023-01-01 0:00:00,H001,Blessing Atta 10kg pack,Mumbai,205
2023-01-01 0:00:00,H002,Amazing CornFlakes,Mumbai,49
2023-01-01 0:00:00,H003,Tata Yellow Label,Mumbai,41
2023-01-01 0:00:00,H004,Descafe Gold Blend coffee,Mumbai,4
2023-01-01 0:00:00,H005,Handmade Basmati Rice,Mumbai,99
2023-01-01 0:00:00,P001,Podigree Dog Food,Mumbai,103
2023-01-01 0:00:00,P002,Matty Dog Bed,Mumbai,75
2023-01-01 0:00:00,P003,Park Range Pet Shampoo,Mumbai,42
2023-01-01 0:00:00,P004,Old Mint Pet Shampoos,Mumbai,64
2023-01-01 0:00:00,P005,Reflective Dog RainCoat,Mumbai,10
2023-01-01 0:00:00,G001,Crafting Chandlar,Mumbai,6
2023-01-01 0:00:00,G002,Desi Kurti,Mumbai,86
2023-01-01 0:00:00,G003,Family Cake and Card Combo,Mumbai,124
2023-01-01 0:00:00,G004,Exact Flower Vase,Mumbai,99
2023-01-01 0:00:00,G005,Friends Dinner Set,Mumbai,144
2023-01-02 0:00:00,F001,Prateek England,Mumbai,20
2023-01-02 0:00:00,F002,Lucy Phillepe,Mumbai,9
